new_order,payment,order_status,delivery,stock_level,total_time
0.155598,0.023802,0.037209,0.112946,0.031158,0.360713
0.124628,0.029555,0.03601,0.112347,0.028725,0.33126500000000003
0.159336,0.056644,0.055365,0.123661,0.031065,0.426071
0.158438,0.027826,0.016716,0.12707,0.032925,0.36297499999999994
0.159934,0.019173,0.023404,0.140921,0.019783,0.36321499999999995
0.112507,0.040126,0.012653,0.120934,0.022858,0.30907799999999996
0.151564,0.017993,0.01686,0.113428,0.022021,0.32186600000000004
0.10852,0.023438,0.019284,0.118574,0.02914,0.298956
0.127099,0.016407,0.01839,0.095258,0.015617,0.272771
0.135028,0.016387,0.012974,0.127669,0.015298,0.307356
0.140969,0.024037,0.021939,0.11521,0.0162,0.31835500000000005
0.16203,0.026758,0.019668,0.13485,0.013478,0.356784
0.227064,0.032573,0.018723,0.101161,0.019394,0.398915
0.144011,0.021965,0.02473,0.117143,0.013736,0.32158500000000007
0.115985,0.02866,0.029212,0.10601,0.013833,0.29369999999999996
0.134362,0.029431,0.020297,0.125851,0.017696,0.327637
0.103928,0.020571,0.032063,0.108919,0.01233,0.27781100000000003
0.138177,0.017147,0.026274,0.123071,0.016632,0.32130099999999995
0.140091,0.069628,0.022532,0.128238,0.018062,0.37855099999999997
0.170078,0.020643,0.027086,0.131889,0.017497,0.367193
0.144624,0.035018,0.015381,0.119824,0.01929,0.334137
0.12006,0.028852,0.018835,0.102243,0.017043,0.2870329999999999
0.128498,0.016557,0.016229,0.11021,0.017309,0.28880300000000003
0.102073,0.027399,0.017267,0.132951,0.014714,0.294404
0.148834,0.016696,0.012387,0.110556,0.014891,0.30336399999999997
0.100025,0.023111,0.01642,0.102791,0.015966,0.25831299999999996
0.132838,0.023975,0.01694,0.120826,0.015112,0.30969100000000005
0.10695,0.026495,0.016701,0.144272,0.016526,0.310944
0.16085,0.028658,0.017054,0.123442,0.024737,0.354741
0.108209,0.023833,0.042976,0.101644,0.015564,0.29222600000000004
0.144603,0.035412,0.01797,0.109234,0.011742,0.318961
0.135202,0.01663,0.014302,0.10903,0.012634,0.287798
0.130125,0.04387,0.017366,0.122237,0.014564,0.328162
0.165392,0.018523,0.012425,0.12104,0.01596,0.33333999999999997
0.128195,0.016312,0.01459,0.126613,0.017332,0.30304200000000003
0.114252,0.022547,0.024972,0.113553,0.015101,0.290425
0.131951,0.016146,0.016062,0.105164,0.016737,0.28606
0.117348,0.034004,0.019378,0.141737,0.014586,0.327053
0.142804,0.022757,0.018067,0.106611,0.016417,0.306656
0.135041,0.041583,0.01479,0.145293,0.015075,0.351782
0.153563,0.020932,0.021858,0.115216,0.01534,0.326909
0.131204,0.022531,0.014634,0.116576,0.012264,0.297209
0.112566,0.030195,0.022478,0.109262,0.011781,0.286282
0.135944,0.022905,0.015,0.102762,0.012644,0.28925500000000004
0.103158,0.016415,0.018038,0.10941,0.010528,0.257549
0.129123,0.023876,0.023113,0.115974,0.011032,0.30311799999999994
0.103661,0.016454,0.023322,0.428971,0.064271,0.636679
0.13008,0.016651,0.021527,0.09298,0.010892,0.27213
0.101873,0.020663,0.031096,0.108492,0.011985,0.27410900000000005
0.137351,0.016375,0.013921,0.11596,0.014803,0.29841
0.111089,0.029165,0.025834,0.111501,0.015082,0.29267099999999996
0.131316,0.041641,0.030021,0.111729,0.012843,0.32754999999999995
0.153394,0.018171,0.024327,0.140332,0.012585,0.34880900000000004
0.131429,0.029339,0.019077,0.145861,0.014325,0.34003099999999997
0.141263,0.023694,0.012443,0.12926,0.016386,0.32304600000000006
0.135801,0.022733,0.012212,0.122517,0.017218,0.310481
0.133525,0.01728,0.042601,0.135725,0.013755,0.342886
0.144014,0.028212,0.024532,0.104265,0.016086,0.317109
0.142219,0.021239,0.020087,0.131399,0.016857,0.331801
0.165593,0.034904,0.019307,0.106446,0.01097,0.33721999999999996
0.093583,0.033428,0.018173,0.106756,0.01171,0.26365
0.107518,0.028685,0.014199,0.125265,0.011557,0.287224
0.098813,0.022447,0.012661,0.117241,0.012856,0.264018
0.098118,0.023149,0.018994,0.099505,0.010739,0.250505
0.098695,0.051318,0.017266,0.112221,0.012748,0.292248
0.106077,0.035357,0.021161,0.114132,0.010051,0.286778
0.102679,0.022026,0.040988,0.115143,0.011789,0.29262499999999997
0.114604,0.026732,0.02115,0.098139,0.010548,0.271173
0.100807,0.026785,0.021183,0.11547,0.012117,0.276362
0.101631,0.021328,0.018344,0.109035,0.013499,0.263837
0.095009,0.029132,0.012682,0.112551,0.013942,0.263316
0.104438,0.016984,0.018655,0.098088,0.012902,0.25106700000000004
0.109186,0.023753,0.017344,0.108644,0.011125,0.270052
0.093035,0.015846,0.031659,0.168119,0.022629,0.331288
0.153373,0.022704,0.014316,0.120018,0.014336,0.324747
0.14065,0.017277,0.016223,0.13718,0.015014,0.32634399999999997
0.13057,0.023605,0.025449,0.117078,0.015989,0.312691
0.13787,0.024309,0.04225,0.145664,0.016088,0.366181
0.153243,0.026741,0.0187,0.126102,0.014478,0.33926399999999995
0.151388,0.029781,0.018981,0.12479,0.01468,0.33962000000000003
0.150338,0.023624,0.017292,0.143809,0.014463,0.349526
0.143938,0.016772,0.016604,0.12262,0.015399,0.31533300000000003
0.141698,0.022721,0.013938,0.113801,0.01227,0.304428
0.141774,0.023907,0.012628,0.115792,0.015454,0.3095550000000001
0.149232,0.028284,0.02087,0.126644,0.014837,0.33986700000000003
0.139091,0.021262,0.016671,0.129964,0.013447,0.32043499999999997
0.150398,0.017138,0.012579,0.150578,0.013472,0.344165
0.130137,0.032022,0.025509,0.118066,0.021066,0.3268
0.156694,0.016906,0.012446,0.118387,0.015548,0.319981
0.14717,0.021582,0.018893,0.144187,0.01564,0.347472
0.137801,0.021269,0.012354,0.135108,0.014127,0.320659
0.138823,0.035973,0.020502,0.141322,0.015714,0.35233400000000004
0.168496,0.018469,0.018695,0.120654,0.01456,0.340874
0.098131,0.027025,0.021504,0.166018,0.028773,0.341451
0.139183,0.024293,0.025215,0.112673,0.012717,0.31408099999999994
0.127689,0.039387,0.029027,0.104039,0.013934,0.314076
0.129984,0.028881,0.022258,0.112381,0.0138,0.30730399999999997
0.132143,0.026657,0.035411,0.145111,0.015183,0.354505
0.150061,0.021389,0.022827,0.108955,0.015589,0.31882099999999997
0.112445,0.016539,0.016532,0.115591,0.014437,0.27554399999999996
