new_order,payment,order_status,delivery,stock_level,total_time
0.132266,0.036528,0.058215,0.123604,0.016081,0.366694
0.110795,0.024228,0.015911,0.124539,0.013308,0.288781
0.110845,0.019529,0.02235,0.136809,0.0146,0.304133
0.108699,0.028283,0.015432,0.144685,0.01361,0.310709
0.122323,0.01856,0.014604,0.103457,0.014385,0.273329
0.116251,0.027056,0.014439,0.127391,0.012631,0.297768
0.11155,0.036049,0.020567,0.145396,0.012268,0.32583
0.102209,0.018588,0.021461,0.125845,0.014287,0.28239
0.095286,0.035362,0.01385,0.115869,0.01313,0.273497
0.11366,0.022322,0.018254,0.111947,0.013084,0.279267
0.098899,0.022429,0.013865,0.118363,0.012259,0.265815
0.097435,0.051608,0.018117,0.095361,0.012003,0.274524
0.111886,0.017468,0.013844,0.133901,0.012604,0.289703
0.115139,0.023139,0.013614,0.126589,0.012035,0.290516
0.192111,0.046597,0.019532,0.168989,0.016443,0.443672
0.107858,0.025315,0.0273,0.136559,0.012546,0.30957799999999996
0.112561,0.021307,0.01356,0.126365,0.013733,0.28752599999999995
0.097961,0.022847,0.042271,0.118171,0.011948,0.293198
0.101876,0.02319,0.018709,0.107482,0.012512,0.263769
0.1154,0.021802,0.027049,0.121929,0.010995,0.29717499999999997
0.103199,0.022673,0.013622,0.136932,0.012332,0.28875799999999996
0.106868,0.023333,0.0139,0.142794,0.012068,0.29896300000000003
0.103602,0.022401,0.018675,0.162689,0.01525,0.322617
0.117096,0.017773,0.013736,0.150428,0.012143,0.311176
0.116985,0.018526,0.01368,0.126804,0.010058,0.286053
0.102184,0.021999,0.018468,0.139776,0.012296,0.29472299999999996
0.103914,0.025357,0.026643,0.139512,0.013446,0.308872
0.116168,0.01733,0.01352,0.12516,0.010728,0.28290600000000005
0.115934,0.021786,0.017785,0.123021,0.011028,0.289554
0.109107,0.031281,0.013546,0.246705,0.034394,0.435033
0.126306,0.098716,0.062859,0.150599,0.010052,0.448532
0.107098,0.020912,0.026879,0.143524,0.012147,0.31056000000000006
0.12346,0.037607,0.058014,0.108223,0.012709,0.34001300000000007
0.112397,0.022717,0.013507,0.100747,0.011853,0.261221
0.122715,0.02599,0.029819,0.123792,0.011493,0.313809
0.098762,0.025511,0.01356,0.120258,0.01609,0.27418099999999995
0.119123,0.026088,0.015374,0.121392,0.017734,0.29971100000000006
0.124091,0.025285,0.016235,0.104611,0.016559,0.286781
0.127106,0.058673,0.013546,0.106733,0.011337,0.317395
0.104034,0.019921,0.026443,0.09962,0.010989,0.26100700000000004
0.115907,0.017959,0.020112,0.090184,0.014066,0.258228
0.118873,0.021808,0.02498,0.101138,0.011769,0.278568
0.096955,0.018464,0.020502,0.137082,0.010507,0.28351
0.124129,0.025645,0.026126,0.123695,0.011932,0.31152700000000005
0.114074,0.019543,0.018403,0.114487,0.0112,0.277707
0.099746,0.024075,0.020679,0.15105,0.011638,0.30718799999999996
0.101459,0.024062,0.018069,0.138562,0.011633,0.29378499999999996
0.135366,0.024841,0.018016,0.124228,0.015839,0.31829
0.103352,0.05054,0.017424,0.120902,0.014482,0.3067
0.099277,0.022945,0.0137,0.137437,0.011864,0.285223
0.120291,0.030647,0.012992,0.101087,0.014169,0.279186
0.112529,0.01696,0.017387,0.11251,0.012372,0.271758
0.111754,0.046602,0.013409,0.116915,0.011767,0.300447
0.119021,0.025717,0.019128,0.14108,0.012292,0.3172380000000001
0.109554,0.021633,0.02054,0.267605,0.120147,0.539479
0.124655,0.023177,0.013701,0.13881,0.012195,0.312538
0.114771,0.030001,0.018154,0.127508,0.012729,0.303163
0.136742,0.018164,0.020133,0.455519,0.033485,0.6640429999999999
0.129195,0.017448,0.020761,0.140915,0.011299,0.319618
0.14342,0.016916,0.013766,0.12013,0.013823,0.30805499999999997
0.13449,0.043319,0.031839,0.135458,0.013428,0.358534
0.17158,0.018761,0.025728,0.113252,0.01651,0.34583100000000006
0.106491,0.024017,0.025275,0.119423,0.012128,0.287334
0.12484,0.023649,0.018719,0.137486,0.013628,0.318322
0.100145,0.037529,0.026131,0.14035,0.009505,0.31365999999999994
0.145005,0.022456,0.016951,0.131272,0.010174,0.325858
0.115728,0.024861,0.044743,0.125951,0.011917,0.3232
0.100907,0.035692,0.013153,0.122083,0.013992,0.285827
0.099108,0.030233,0.02725,0.44482,0.033693,0.635104
0.158821,0.030793,0.026901,0.142282,0.010619,0.369416
0.15045,0.024302,0.015372,0.131798,0.016727,0.338649
0.140827,0.059194,0.023654,0.09929,0.016101,0.339066
0.14217,0.023181,0.042052,0.150512,0.012001,0.36991599999999997
0.121153,0.019054,0.024325,0.126299,0.012911,0.303742
0.10115,0.01795,0.018796,0.14247,0.011769,0.292135
0.117492,0.017259,0.026213,0.10329,0.013655,0.27790899999999996
0.11656,0.017497,0.013638,0.352207,0.02403,0.523932
0.146121,0.019415,0.016402,0.095644,0.016954,0.294536
0.185152,0.02068,0.016241,0.125405,0.014427,0.36190500000000003
