new_order,payment,order_status,delivery,stock_level,total_time
0.106956,0.043128,0.045314,0.127617,0.018999,0.342014
0.116059,0.021669,0.020229,0.128474,0.01882,0.305251
0.148765,0.03994,0.019781,0.13152,0.014583,0.35458900000000004
0.106585,0.029008,0.015907,0.155711,0.014052,0.321263
0.111996,0.020871,0.053339,0.142017,0.017527,0.34575000000000006
0.108321,0.032813,0.025888,0.141541,0.014073,0.32263600000000003
0.12422,0.029998,0.014765,0.154764,0.014257,0.338004
0.118986,0.037974,0.032063,0.162569,0.014448,0.36604000000000003
0.106742,0.022213,0.033812,0.161339,0.015018,0.339124
0.105233,0.020804,0.026876,0.165382,0.017622,0.335917
0.129607,0.029203,0.026047,0.132597,0.012594,0.330048
0.117639,0.029531,0.023542,0.162886,0.011294,0.34489200000000003
0.12147,0.0222,0.020756,0.134973,0.01726,0.31665899999999997
0.115043,0.039861,0.027756,0.119222,0.018999,0.32088099999999997
0.141206,0.028755,0.016324,0.145718,0.01441,0.34641299999999997
0.110285,0.063076,0.01623,0.126427,0.013457,0.329475
0.128009,0.028234,0.016263,0.119607,0.013489,0.305602
0.113988,0.020126,0.024196,0.157301,0.012802,0.32841299999999995
0.101857,0.028561,0.016266,0.148608,0.012901,0.308193
0.113291,0.031849,0.02541,0.301253,0.211097,0.6829
0.153635,0.021577,0.024447,0.132905,0.013319,0.345883
0.118629,0.028615,0.01702,0.144351,0.012848,0.321463
0.131835,0.031508,0.016035,0.135441,0.013498,0.328317
0.123031,0.032132,0.033946,0.141488,0.014553,0.34515
0.119758,0.028499,0.023343,0.11502,0.011008,0.297628
0.116802,0.020977,0.023989,0.121629,0.021258,0.304655
0.141117,0.020973,0.027357,0.125896,0.013519,0.328862
0.102308,0.022556,0.023976,0.099835,0.014415,0.26309
0.108551,0.021952,0.016814,0.109834,0.013685,0.27083599999999997
0.120243,0.030865,0.016075,0.137589,0.013527,0.318299
0.11192,0.021484,0.024501,0.132261,0.013993,0.30415899999999996
0.121984,0.028316,0.016191,0.490641,0.199132,0.856264
0.159412,0.032513,0.026959,0.116658,0.013373,0.34891500000000003
0.118839,0.030905,0.016776,0.136679,0.013808,0.317007
0.122421,0.031657,0.017034,0.151679,0.011936,0.334727
0.119353,0.029823,0.030042,0.124863,0.016106,0.320187
0.150438,0.021573,0.024926,0.123598,0.013311,0.33384600000000003
0.11209,0.030778,0.026005,0.143394,0.013311,0.325578
