new_order,payment,order_status,delivery,stock_level,total_time
0.128417,0.019435,0.021797,0.429605,0.025377,0.624631
0.125964,0.030999,0.04009,0.12403,0.013809,0.334892
0.115696,0.035382,0.01887,0.109137,0.012825,0.29190999999999995
0.105587,0.019146,0.028522,0.119811,0.015134,0.2882
0.110487,0.018434,0.013856,0.138721,0.078179,0.359677
0.128315,0.025539,0.069233,0.119873,0.019656,0.36261600000000005
0.132248,0.021446,0.026393,0.124216,0.009767,0.31407
0.105416,0.017122,0.028186,0.132192,0.013778,0.296694
0.13002,0.024219,0.020269,0.121569,0.011963,0.30804
0.115193,0.025489,0.027189,0.164119,0.01351,0.34550000000000003
0.133485,0.0254,0.030631,0.141721,0.011345,0.342582
0.124,0.019948,0.012604,0.132516,0.015219,0.304287
0.145269,0.026393,0.026213,0.12182,0.017564,0.33725900000000003
0.158306,0.030631,0.031765,0.152772,0.01879,0.39226399999999995
0.144691,0.026037,0.018885,0.114067,0.014907,0.31858699999999995
0.101702,0.028975,0.01331,0.133607,0.013584,0.291178
0.10129,0.017228,0.018958,0.105059,0.011949,0.254484
0.1322,0.016491,0.012238,0.099561,0.01193,0.27242
0.095388,0.020972,0.018659,0.094958,0.014376,0.244353
0.094901,0.01669,0.017286,0.122552,0.011445,0.262874
0.106593,0.017084,0.031216,0.115785,0.011482,0.28215999999999997
0.270849,0.025185,0.014805,0.11052,0.011337,0.432696
0.132481,0.029018,0.037437,0.121707,0.012749,0.33339199999999997
0.114176,0.021916,0.019424,0.130902,0.011479,0.29789699999999997
0.110436,0.020013,0.015922,0.139412,0.012161,0.297944
0.165782,0.029039,0.019675,0.12712,0.012531,0.35414700000000005
0.107676,0.030446,0.024727,0.103811,0.009672,0.276332
0.095751,0.021515,0.025957,0.133618,0.010842,0.287683
0.108799,0.029875,0.012925,0.11368,0.01119,0.276469
0.148913,0.021441,0.025283,0.116161,0.01123,0.32302800000000004
0.1051,0.021235,0.022481,0.095425,0.010026,0.25426699999999997
0.102026,0.022076,0.01813,0.105337,0.011375,0.258944
0.102296,0.017087,0.012915,0.105903,0.010902,0.249103
0.139931,0.028128,0.02088,0.131024,0.014064,0.334027
0.116018,0.025632,0.020044,0.13826,0.012691,0.312645
0.118723,0.025564,0.02386,0.154259,0.013446,0.335852
0.13883,0.03132,0.024667,0.120509,0.013721,0.329047
0.1104,0.017441,0.062354,0.210997,0.016572,0.41776399999999997
0.156968,0.022823,0.012863,0.103841,0.010551,0.307046
0.152786,0.016177,0.025326,0.341328,0.070219,0.605836
0.10804,0.016677,0.019033,0.103861,0.010476,0.25808699999999996
0.140438,0.021664,0.026608,0.114379,0.011036,0.314125
0.108641,0.029423,0.017484,0.118654,0.010261,0.284463
0.154233,0.030662,0.025924,0.135075,0.013555,0.359449
0.167852,0.023424,0.017483,0.104951,0.010929,0.324639
0.119287,0.017171,0.013334,0.148089,0.010687,0.308568
0.110389,0.024137,0.02521,0.139165,0.012434,0.31133500000000003
0.116582,0.026892,0.025306,0.126165,0.01261,0.307555
0.107608,0.02372,0.017945,0.138216,0.011787,0.299276
0.098968,0.017297,0.013475,0.124049,0.012106,0.26589500000000005
0.099204,0.024142,0.013716,0.13618,0.011975,0.285217
0.112729,0.021445,0.01739,0.118519,0.009886,0.27996899999999997
0.136354,0.03709,0.013827,0.140855,0.012213,0.340339
0.100208,0.021582,0.013416,0.120224,0.01098,0.26641000000000004
0.109356,0.027687,0.01375,0.140422,0.011705,0.30292
0.101616,0.021976,0.016715,0.127522,0.01087,0.278699
0.098707,0.017212,0.017979,0.101762,0.011349,0.24700900000000003
0.109051,0.01738,0.013191,0.126995,0.011392,0.278009
0.110803,0.027591,0.017699,0.113388,0.011375,0.280856
0.116979,0.02103,0.017427,0.106557,0.011896,0.273889
0.114411,0.021735,0.021098,0.131546,0.011926,0.300716
0.106149,0.016793,0.025219,0.108742,0.010951,0.267854
0.111742,0.022286,0.024342,0.133627,0.011421,0.30341799999999997
0.105786,0.023839,0.019259,0.121684,0.012902,0.28347
0.119788,0.022533,0.037854,0.123232,0.010476,0.31388299999999997
0.113095,0.023876,0.01323,0.143132,0.01125,0.304583
0.111072,0.01737,0.017537,0.128164,0.011119,0.285262
0.114495,0.047889,0.025466,0.146515,0.010845,0.34521
0.100707,0.023201,0.020952,0.120936,0.011824,0.27762
0.111196,0.016969,0.012905,0.118805,0.012728,0.272603
0.107378,0.022528,0.020051,0.502338,0.075089,0.7273839999999999
0.108142,0.016781,0.012968,0.136129,0.012719,0.286739
0.098097,0.021926,0.0203,0.120721,0.011391,0.272435
0.109795,0.029668,0.018083,0.097021,0.010211,0.264778
0.097052,0.020737,0.025341,0.104667,0.010627,0.258424
0.101302,0.023649,0.013124,0.125973,0.011214,0.275262
0.113395,0.017018,0.020204,0.12437,0.010426,0.285413
0.103429,0.017126,0.013117,0.112445,0.00992,0.25603699999999996
0.107538,0.021851,0.044029,0.109336,0.01096,0.29371400000000003
0.104252,0.021023,0.017094,0.097118,0.013408,0.252895
0.119145,0.023857,0.026067,0.135423,0.009959,0.314451
0.095989,0.017856,0.027739,0.118613,0.013418,0.273615
0.148948,0.022301,0.025559,0.137126,0.011572,0.345506
0.112427,0.022866,0.013092,0.128306,0.013418,0.290109
0.099645,0.035401,0.017948,0.121988,0.013338,0.28832
0.105236,0.022935,0.014544,0.129846,0.017299,0.28986
0.142856,0.017003,0.015334,0.147237,0.01304,0.33547
0.100951,0.02982,0.019753,0.125225,0.012961,0.28871
0.119901,0.027464,0.020054,0.137614,0.01464,0.319673
0.119182,0.029769,0.018974,0.143667,0.015525,0.327117
0.13599,0.017921,0.019633,0.125764,0.012569,0.311877
0.10427,0.023474,0.020033,0.128379,0.011103,0.28725899999999993
0.11758,0.036103,0.020932,0.128327,0.015791,0.31873300000000004
0.145523,0.017177,0.017663,0.126107,0.015942,0.32241200000000003
0.120041,0.02177,0.018117,0.120059,0.011703,0.29169
