new_order,payment,order_status,delivery,stock_level,total_time
0.880141,0.109089,0.098884,0.249566,0.133354,1.471034
0.606838,0.089767,0.068062,0.256404,0.102518,1.123589
0.651581,0.132154,0.080264,0.241442,0.096374,1.2018149999999999
0.625696,0.078251,0.0703,0.203233,0.120592,1.098072
0.633601,0.080796,0.070803,0.258011,0.093733,1.136944
0.597286,0.079085,0.07072,0.187243,0.107699,1.042033
0.605212,0.094923,0.104896,0.213282,0.091763,1.110076
0.679507,0.091336,0.085371,0.201934,0.118906,1.1770539999999998
0.706477,0.088621,0.183966,0.249485,0.097857,1.3264060000000002
0.668725,0.096068,0.075399,0.205929,0.103529,1.14965
0.657475,0.084707,0.069733,0.225307,0.079084,1.116306
0.590326,0.086223,0.070886,0.220234,0.09515,1.0628190000000002
0.620118,0.078433,0.070754,0.219028,0.080948,1.069281
0.601584,0.094928,0.110429,0.19746,0.074534,1.0789350000000002
0.656989,0.081398,0.069786,0.190293,0.06351,1.061976
0.594856,0.115116,0.078382,0.205816,0.077897,1.072067
0.581569,0.220433,0.087339,0.20162,0.077512,1.1684729999999999
0.604375,0.074618,0.106589,0.203866,0.05491,1.044358
0.60526,0.08744,0.109604,0.226586,0.071501,1.1003910000000001
0.592639,0.080971,0.078722,0.236882,0.060016,1.04923
0.65177,0.073867,0.083905,0.185751,0.074363,1.069656
0.615771,0.099095,0.081079,0.18745,0.064639,1.048034
0.695014,0.116154,0.080811,0.211343,0.08031,1.183632
0.556291,0.077118,0.07102,0.180604,0.066874,0.951907
0.558869,0.080295,0.085649,0.235431,0.079784,1.040028
0.708776,0.079378,0.069461,0.207693,0.075605,1.1409129999999998
0.613933,0.078327,0.08162,0.217821,0.095195,1.0868959999999999
0.606124,0.113711,0.095431,0.193605,0.066398,1.075269
0.677966,0.086182,0.068581,0.191513,0.063792,1.088034
0.603694,0.095675,0.186508,0.197565,0.066509,1.1499509999999997
0.670029,0.073608,0.067742,0.189112,0.062515,1.0630060000000001
