new_order,payment,order_status,delivery,stock_level,total_time
0.766649,0.095838,0.194824,0.244117,0.126424,1.427852
0.548115,0.083407,0.072426,0.218587,0.099985,1.02252
0.556722,0.081149,0.113031,0.203452,0.098148,1.052502
0.573917,0.187464,0.069211,0.214965,0.120505,1.1660620000000002
0.556857,0.067854,0.068694,0.220341,0.107021,1.020767
0.520435,0.187512,0.169361,0.237063,0.09357,1.207941
0.545543,0.117439,0.063749,0.220532,0.081021,1.028284
0.543228,0.078087,0.084546,0.183164,0.101504,0.9905290000000001
0.562669,0.068264,0.070709,0.207644,0.081184,0.9904700000000001
0.574822,0.081163,0.071973,0.183346,0.090385,1.001689
0.574261,0.071588,0.063076,0.190831,0.091536,0.9912920000000001
0.541557,0.120329,0.067287,0.21181,0.086651,1.027634
0.591664,0.076573,0.064807,0.193873,0.074518,1.001435
0.524493,0.073631,0.071647,0.213134,0.071653,0.954558
0.531981,0.072901,0.154136,0.222673,0.07547,1.057161
0.565314,0.07676,0.070269,0.198701,0.08861,0.999654
0.532535,0.083755,0.07759,0.232152,0.08888,1.014912
0.550318,0.085333,0.078369,0.218996,0.081064,1.0140799999999999
0.617871,0.077661,0.066267,0.22091,0.0971,1.0798089999999998
0.603904,0.11772,0.079892,0.205713,0.077631,1.08486
0.539178,0.07757,0.078319,0.193617,0.084775,0.9734590000000002
0.591832,0.110475,0.074041,0.201982,0.080144,1.0584740000000001
0.510606,0.071451,0.070562,0.197381,0.069723,0.9197230000000001
0.537091,0.07704,0.066386,0.196268,0.077323,0.9541080000000001
0.573147,0.112887,0.081969,0.211306,0.07138,1.0506889999999998
0.565708,0.069899,0.091014,0.170182,0.088083,0.984886
0.646346,0.156445,0.069586,0.208428,0.080288,1.161093
0.624048,0.085875,0.072603,0.182957,0.073432,1.038915
0.54088,0.081712,0.080774,0.176123,0.100665,0.9801540000000001
0.547575,0.091107,0.066063,0.202625,0.071565,0.978935
0.556935,0.098882,0.07122,0.191811,0.087756,1.0066039999999998
0.554859,0.075854,0.068372,0.215404,0.081551,0.99604
0.556541,0.088877,0.149008,0.20045,0.087096,1.081972
0.574999,0.083816,0.071277,0.190801,0.078182,0.999075
0.596685,0.069576,0.104871,0.20105,0.080594,1.0527760000000002
0.536201,0.073192,0.065557,0.18668,0.076003,0.9376330000000002
0.518891,0.091879,0.093657,0.185193,0.077211,0.9668310000000001
0.587325,0.085633,0.065287,0.178419,0.09048,1.0071439999999998
0.562858,0.096226,0.066656,0.187235,0.083061,0.9960360000000001
0.597111,0.066884,0.072744,0.210367,0.090391,1.037497
0.522715,0.079791,0.106882,0.187968,0.07983,0.977186
0.543546,0.073192,0.068929,0.200253,0.070841,0.9567610000000001
0.548311,0.105838,0.082225,0.261764,0.07624,1.074378
0.57334,0.080881,0.067294,0.195924,0.083065,1.0005039999999998
0.561972,0.06848,0.068069,0.186583,0.085587,0.9706910000000001
0.567992,0.071689,0.088492,0.208053,0.084531,1.020757
0.540611,0.126569,0.069725,0.21161,0.073974,1.022489
0.54938,0.073532,0.071332,0.176577,0.0818,0.952621
0.551842,0.073736,0.099177,0.193756,0.082287,1.000798
0.534364,0.06991,0.138802,0.226341,0.075167,1.044584
0.541819,0.067389,0.063668,0.175447,0.082264,0.930587
0.549865,0.069562,0.106847,0.204821,0.093637,1.0247320000000002
0.619465,0.068657,0.069995,0.203057,0.074249,1.035423
0.544773,0.067936,0.111922,0.231133,0.072073,1.027837
0.674585,0.06993,0.072357,0.1876,0.075107,1.079579
0.535005,0.071341,0.076019,0.17921,0.079694,0.9412689999999999
0.533521,0.070918,0.065865,0.206799,0.07846,0.9555629999999999
0.570656,0.187624,0.063537,0.197702,0.072901,1.0924200000000002
0.645024,0.072445,0.10368,0.206223,0.066389,1.093761
0.531752,0.07,0.074715,0.171763,0.086463,0.934693
0.552373,0.077458,0.092326,0.189203,0.071049,0.9824090000000001
0.575751,0.070953,0.102336,0.195934,0.072202,1.017176
0.522457,0.077075,0.071205,0.180905,0.081273,0.9329149999999999
0.5985,0.071536,0.076346,0.18708,0.071697,1.0051590000000001
0.519723,0.076862,0.105352,0.185351,0.080166,0.967454
0.522988,0.072416,0.069249,0.210377,0.066115,0.9411450000000001
0.621684,0.128011,0.070517,0.184206,0.073967,1.078385
0.577293,0.075598,0.080608,0.179978,0.070673,0.9841499999999999
0.530101,0.076714,0.064914,0.17546,0.082493,0.9296820000000002
0.546762,0.094254,0.065674,0.204672,0.083479,0.994841
0.576988,0.078161,0.066279,0.178938,0.084219,0.984585
0.526407,0.071754,0.070338,0.198512,0.081855,0.948866
0.56367,0.084001,0.076408,0.191418,0.075056,0.990553
0.614246,0.071273,0.062752,0.202201,0.082553,1.033025
0.515258,0.089109,0.169923,0.187617,0.076283,1.03819
0.560492,0.095645,0.081059,0.193981,0.082706,1.0138829999999999
0.570734,0.122787,0.177267,0.208074,0.080995,1.159857
0.542051,0.079932,0.139032,0.177341,0.076535,1.014891
0.521893,0.069145,0.06299,0.200955,0.074179,0.929162
0.54038,0.08011,0.079352,0.185824,0.064901,0.9505669999999999
0.573038,0.070426,0.072475,0.199558,0.083083,0.99858
0.534172,0.071324,0.070621,0.204921,0.087775,0.9688130000000001
0.528673,0.092718,0.080586,0.20363,0.082604,0.988211
0.545051,0.079194,0.0688,0.18436,0.087883,0.9652879999999999
0.532935,0.084048,0.066174,0.196999,0.082852,0.9630080000000001
0.571613,0.07466,0.078089,0.186859,0.064203,0.9754240000000001
0.547241,0.077505,0.070293,0.195452,0.083884,0.9743749999999999
0.559793,0.079482,0.07507,0.200095,0.083955,0.998395
0.535798,0.077619,0.067847,0.19384,0.081177,0.9562809999999999
0.61251,0.07112,0.073303,0.182667,0.055631,0.995231
0.543086,0.072628,0.072943,0.180296,0.072652,0.941605
0.535125,0.071808,0.065667,0.193075,0.077076,0.942751
0.568597,0.069892,0.070956,0.184467,0.082556,0.976468
0.5426,0.073925,0.064019,0.192102,0.096054,0.9687
0.550813,0.071589,0.064087,0.19136,0.100537,0.978386
