new_order,payment,order_status,delivery,stock_level,total_time
0.191338,0.044501,0.019272,0.144416,0.016639,0.41616600000000004
0.120166,0.036517,0.027564,0.108129,0.015502,0.307878
0.123778,0.031616,0.039308,0.162502,0.015703,0.37290700000000004
0.13209,0.023648,0.02598,0.123204,0.016185,0.32110700000000003
0.141116,0.024892,0.019441,0.134601,0.016045,0.3360949999999999
0.133952,0.040907,0.019807,0.134788,0.017029,0.346483
0.119124,0.030221,0.017824,0.25139,0.206616,0.625175
0.152694,0.041651,0.025567,0.147635,0.013959,0.38150599999999996
0.1094,0.028498,0.028463,0.119559,0.01648,0.30239999999999995
0.125154,0.041139,0.025311,0.157099,0.016305,0.365008
0.131455,0.022182,0.017328,0.153311,0.013347,0.337623
0.125734,0.022584,0.027532,0.104166,0.015867,0.295883
0.108914,0.021345,0.01692,0.123195,0.014596,0.28497
0.110437,0.028379,0.016232,0.136017,0.020112,0.31117700000000004
0.162314,0.036179,0.020992,0.164426,0.017896,0.401807
0.136881,0.02474,0.02058,0.113629,0.018525,0.314355
0.15643,0.024871,0.029197,0.112854,0.015668,0.33902000000000004
0.140148,0.033057,0.028676,0.541277,0.203557,0.946715
0.153585,0.039721,0.035336,0.179713,0.017982,0.426337
0.131684,0.080038,0.020843,0.133835,0.015286,0.381686
0.142261,0.064851,0.025363,0.148368,0.014755,0.39559800000000006
0.112944,0.028461,0.016754,0.142137,0.015597,0.315893
0.110313,0.02946,0.016226,0.109391,0.012828,0.27821799999999997
0.110569,0.021505,0.023331,0.149514,0.015818,0.320737
0.132022,0.022838,0.024635,0.132414,0.013916,0.325825
0.125337,0.041201,0.023856,0.157907,0.013663,0.36196399999999995
0.115888,0.031995,0.017792,0.140052,0.015818,0.321545
0.134702,0.063584,0.025162,0.167613,0.015328,0.406389
0.132418,0.021993,0.024027,0.142569,0.016546,0.33755300000000005
0.150296,0.031616,0.016613,0.157937,0.015833,0.372295
0.118151,0.0308,0.0161,0.143949,0.014021,0.323021
0.113091,0.021633,0.016727,0.144606,0.014235,0.310292
0.109116,0.021837,0.024577,0.160584,0.012854,0.328968
0.109769,0.032226,0.025481,0.143005,0.013754,0.324235
0.121105,0.029175,0.024277,0.137799,0.01392,0.32627599999999995
0.110884,0.04024,0.016818,0.12795,0.017785,0.313677
0.117025,0.033121,0.027727,0.138043,0.011872,0.32778799999999997
0.128317,0.032038,0.026938,0.106528,0.015142,0.30896299999999993
0.118285,0.062859,0.02493,0.106042,0.013386,0.325502
0.122789,0.020537,0.015957,0.122022,0.012823,0.294128
0.116657,0.040597,0.025233,0.136984,0.014008,0.333479
0.110718,0.029656,0.034386,0.19181,0.120966,0.487536
0.158375,0.023412,0.03391,0.1528,0.016183,0.38467999999999997
0.118686,0.023022,0.018614,0.148104,0.016029,0.324455
